,index,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
26,26,0.7820024922500844,0.9968383446329283,0.0012226737025279068,0.07945636959667315,0.9772485668395772,799.2717638557963,9830.391065037058,10059.253498655467,5.066648188260766,0.09772741268303962
27,27,0.6510388043948124,0.9908642345819426,0.000575720050709359,0.13486314776966046,0.9470872962682653,1645.048309679914,11552.48399293203,12197.908301010253,5.347651279179994,0.15026576567689895
28,28,0.8001324285072856,0.9973642908623207,0.0016490250746105444,0.07255667655495145,0.9899047072267787,600.2969405790071,8189.9667325989285,8273.490036776517,5.120104404865946,0.1139337945432432
29,29,0.5988821148433454,0.987399608212029,0.0009239654222066688,0.15824668622985938,0.8953225747385851,969.0000872546972,5482.374852277247,6123.351523754421,4.2547900251163595,0.1214033002733983
30,30,0.6398061563915657,0.9901316537940582,0.0007628997554691736,0.14014031595170295,0.9490314997310149,1243.9792946943242,8424.239146748823,8876.66968813629,4.88012476870155,0.11266742300316994
31,31,0.6243390890703444,0.9888872238941631,0.0007303232709012544,0.1486676105239315,0.9737489829578438,1333.3122765706073,8732.981371667658,8968.411289263171,4.664597974386248,0.1564937635330771
32,32,0.5520571835188798,0.9831388225991011,0.0007467761968953772,0.1828607543964893,0.9370395734310359,1254.779647940914,6429.909960379518,6861.9406721916275,4.684703270024832,0.1646027504249378
33,33,0.71246936258924,0.9940641529170303,0.0008150277774702378,0.10879549570339225,0.9828904748685267,1205.9594802024017,10894.99228350298,11084.645300851364,5.455153376197178,0.18960716076553844
34,34,0.6172160321159582,0.9886129497269325,0.0010923128234947648,0.15048068192367298,0.9401596849953137,860.705527549654,5377.43866727858,5719.707782732021,4.402758188468785,0.1533412536900189
35,35,0.7574852062746296,0.9960590998787141,0.0014211495877268986,0.08869199258560981,0.9386774949443122,660.5057645238519,6990.505888579188,7447.18598904292,4.947215174428322,0.0678764521802891
36,36,0.7071319958406593,0.9939311851350422,0.00133445033747836,0.11000363274024447,0.9516702328702243,713.1552266445112,6169.692615661261,6483.015232128836,4.6927306076835436,0.12986481777922262
37,37,0.7755616741275505,0.9966453712124829,0.0007327622209538867,0.08184133454882245,0.9686704554533279,1321.9437735099707,15646.468672938065,16152.51976030969,5.775060445316361,0.08761019505550893
38,38,0.8121391883401703,0.9977209595460648,0.0016563110786245788,0.0674750834195837,0.9765912331460493,589.6182460827484,8533.757660538728,8738.31073933315,5.167084662561646,0.10137424907949777
39,39,0.8551899784583067,0.9987018072123814,0.0028335533287899475,0.050938200505349106,0.9716553286086659,342.9105493573349,6541.080352537982,6731.893666352137,4.944937852470071,0.06354542353897964
40,40,0.5983045133180905,0.9873109184110006,0.0009682212062202538,0.15879908811585303,0.9136219071225663,943.608651879427,5428.882157550448,5942.154095941725,4.151185569271029,0.13185488503269044
41,41,0.6661958795242848,0.9918695545189253,0.0009645848713830983,0.12725873965440915,0.9111967879802367,944.6517512488979,6763.8862669506125,7423.079576414526,4.595140791445845,0.08056424965441182
42,42,0.7158953214445206,0.9943532798017616,0.0009243550827382383,0.10612047374319153,0.9465255472228886,1023.9847920984804,9133.277787983054,9649.26706392674,5.078592618369349,0.09479824811704023
43,43,0.7801447501975827,0.9968166119576384,0.000762169347994244,0.07972855276056998,0.9539062802616015,1251.567361993683,14974.283684309592,15697.85627179539,5.877237056930613,0.07574330196467441
44,44,0.3363204315053793,0.9499875489976989,0.00044870855538278325,0.31228777873836905,0.8040851124384943,1791.9986209145206,4614.075576088631,5738.292507488215,4.260482618315622,0.20971515099034896
45,45,0.5386119647326862,0.9818215947763098,0.0004523418931654567,0.18980610114246513,0.9345809294299489,2066.0941282484746,10173.182837884098,10885.288280052182,5.183077196020721,0.14257807169231926
46,46,0.4340452377613377,0.9684074258439215,0.0006818136859038359,0.24937332970939324,0.927008400671057,1359.6212863374583,5054.190661185759,5452.151951942457,4.275850097329172,0.22112781941860568
