,diff,Assay ID,SMILES
649,0.030337065013921638,CHEMBL905613,"C(=O)([O-])[C](C)c1ccc(C[C](C)C)cc1	
"
362,0.03037302638280792,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c([nH]c(=O)c(=O)[nH]4)c3)on2)cc1	
"
635,0.030498761889806936,CHEMBL905613,"c1ccccc1CSP(=O)(O[C](C)C)O[C](C)C	
"
503,0.030608354919092307,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)Nc1cc(C(=O)Nc2ccccc2)ccc1/C=C/C(=O)[O-]	
"
325,0.030675322928074955,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cc(C#N)cnc3)no2)cc1	
"
432,0.030817394435471712,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2C(=O)N2CCc3ccc(S(=O)(=O)N)cc3C2)cc1	
"
308,0.031154136465706195,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3ccnc(N)c3)n2)cc1	
"
331,0.031537529888404414,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccc(CC(=O)[O-])cc1)cc2F	
"
53,0.031597640691631845,CHEMBL1034536,"C(=O)(c1ccc(SCCCCCC)cc1)CC[NH+](C)C	
"
443,0.031620783184433066,CHEMBL3431937,"Cn1ccc(c2nc([C]3CCCCN3C(=O)COc3ccccc3)no2)n1	
"
441,0.03173205968306991,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(C(=O)N3CCOCC3)on2)cc1	
"
35,0.03181067468969845,CHEMBL1034536,"C(=O)(c1c(OC)cc(OCCCCCC)cc1)CC[NH+](C)C	
"
483,0.0319130150657605,CHEMBL3431937,"COc1ccc(Cl)cc1CN1c2cc(C(=O)Nc3nc(CC(=O)[O-])cs3)ccc2C2(CC2)C1=O	
"
332,0.032284101121207165,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1nc(CC(=O)[O-])cs1)cc2F	
"
392,0.03228957768775498,CHEMBL3431937,"Cc1ccc(OC)c(S(=O)(=O)N2CCc3c2cc(C(=O)Nc2ccc(CC(=O)[O-])cc2)cc3)c1	
"
703,0.032290263314433965,CHEMBL905613,"c1(C(=O)OC)c(C(=O)OC)cccc1	
"
525,0.03231710385790887,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc(C(=O)N)cc3)cs2)cc1	
"
329,0.032443709631378326,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cc(C(=O)N[C]4CC4)cnc3)no2)cc1	
"
541,0.032473703770850904,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cc2F	
"
250,0.032695065997279116,CHEMBL3431937,"CC(=O)Nc1cccc(c2[nH]c([C]3CCCCN3C(=O)COc3ccccc3)nn2)c1	
"
714,0.03272699987341987,CHEMBL905613,"C1CC(=O)C=C2CC[C]3[C]([C](O)C[C@@]4(C)[C]3CC[C@]4(O)C(=O)CO)[C@@]12C	
"
647,0.03278741298264709,CHEMBL905613,"c1cccc(C)c1O	
"
